ga,が,ガ
gi,ぎ,ギ
gu,ぐ,グ
ge,げ,ゲ
go,ご,ゴ
za,ざ,ザ
ji,じ,ジ
zu,ず,ズ
ze,ぜ,ゼ
zo,ぞ,ゾ
da,だ,ダ
ji(di),ぢ,ヂ
zu(du),づ,ヅ
de,で,デ
do,ど,ド
ba,ば,バ
bi,び,ビ
bu,ぶ,ブ
be,べ,ベ
bo,ぼ,ボ
pa,ぱ,パ
pi,ぴ,ピ
pu,ぷ,プ
pe,ぺ,ペ
po,ぽ,ポ
kya,きゃ,キャ
kyu,きゅ,キュ
kyo,きょ,キョ
sha,しゃ,シャ
shu,しゅ,シュ
sho,しょ,ショ
cha,ちゃ,チャ
chu,ちゅ,チュ
cho,ちょ,チョ
nya,にゃ,ニャ
nyu,にゅ,ニュ
nyo,にょ,ニョ
hya,ひゃ,ヒャ
hyu,ひゅ,ヒュ
hyo,ひょ,ヒョ
mya,みゃ,ミャ
myu,みゅ,ミュ
myo,みょ,ミョ
rya,りゃ,リャ
ryu,りゅ,リュ
ryo,りょ,リョ
gya,ぎゃ,ギャ
gyu,ぎゅ,ギュ
gyo,ぎょ,ギョ
ja,じゃ,ジャ
ju,じゅ,ジュ
jo,じょ,ジョ
ja,ぢゃ,ヂャ
ju,ぢゅ,ヂュ
jo,ぢょ,ヂョ
bya,びゃ,ビャ
byu,びゅ,ビュ
byo,びょ,ビョ
pya,ぴゃ,ピャ
pyu,ぴゅ,ピュ
pyo,ぴょ,ピョ
