# VOWELS
a,あ
i,い
u,う
e,え
o,お
# K-LINE
ka,か
ki,き
ku,く
ke,け
ko,こ
# S-LINE
sa,さ
shi,し
su,す
se,せ
so,そ
# T-LINE
ta,た
chi,ち
tsu,つ
te,て
to,と
# N-LINE
na,な
ni,に
nu,ぬ
ne,ね
no,の
# H-LINE
ha,は
hi,ひ
fu,ふ
he,へ
ho,ほ
# M-LINE
ma,ま
mi,み
mu,む
me,め
mo,も
# Y-LINE
ya,や
yu,ゆ
yo,よ
# R-LINE
ra,ら
ri,り
ru,る
re,れ
ro,ろ
# W-LINE
wa,わ
wo,を
# N
n,ん
# G-LINE
ga,が
gi,ぎ
gu,ぐ
ge,げ
go,ご
# Z-LINE
za,ざ
ji,じ
zu,ず
ze,ぜ
zo,ぞ
# D-LINE
da,だ
ji,ぢ
zu,づ
de,で
do,ど
# B-LINE
ba,ば
bi,び
bu,ぶ
be,べ
bo,ぼ
# P-LINE
pa,ぱ
pi,ぴ
pu,ぷ
pe,ぺ
po,ぽ
# DIGRAPHS
kya,きゃ
kyu,きゅ
kyo,きょ
sha,しゃ
shu,しゅ
sho,しょ
cha,ちゃ
chu,ちゅ
cho,ちょ
nya,にゃ
nyu,にゅ
nyo,にょ
hya,ひゃ
hyu,ひゅ
hyo,ひょ
mya,みゃ
myu,みゅ
myo,みょ
rya,りゃ
ryu,りゅ
ryo,りょ
gya,ぎゃ
gyu,ぎゅ
gyo,ぎょ
ja,じゃ
ju,じゅ
jo,じょ
ja,ぢゃ
ju,ぢゅ
jo,ぢょ
bya,びゃ
byu,びゅ
byo,びょ
pya,ぴゃ
pyu,ぴゅ
pyo,ぴょ
